MEASURE,Unit,COUNTRY,Country,PRODUCT,Product,FLOW,Flow,TIME,Time,Value,Flag Codes,Flags
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2000,2000,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2001,2001,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2002,2002,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2003,2003,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2003,2003,0,,
