COUNTRY,FLOW,2000_per_million
AUT,ELOUTPUT,206.82598133748135
AUT,HEATOUT,1221.733678534259
AUT,TFC,13001.050069362218
BEL,ELOUTPUT,130.32560819186193
BEL,HEATOUT,81.16085779612959
BEL,TFC,2174.076763539109
BGR,ELOUTPUT,1.8359466606088584
BGR,HEATOUT,0.856775108284134
BGR,TFC,2845.227885043301
CYP,ELOUTPUT,0.0
CYP,HEATOUT,0.0
CYP,TFC,393.360854154059
CZE,ELOUTPUT,51.691394005920465
CZE,HEATOUT,599.5617621138684
CZE,TFC,5113.457070784015
DEU,ELOUTPUT,123.10929586360429
DEU,HEATOUT,235.58747577179014
DEU,TFC,2402.4813657154855
DNK,ELOUTPUT,347.7385006475131
DNK,HEATOUT,5818.624394455371
DNK,TFC,5092.983364010264
ESP,ELOUTPUT,51.78231395779697
ESP,HEATOUT,0.0
ESP,TFC,3544.583228443325
EST,ELOUTPUT,9.305754893574377
EST,HEATOUT,1919.1329899748387
EST,TFC,12733.136576269611
EU28,ELOUTPUT,94.71366476952787
EU28,HEATOUT,488.96498499357335
EU28,TFC,4232.665956670729
FIN,ELOUTPUT,1683.08700412252
FIN,HEATOUT,6904.868298248735
FIN,TFC,36397.52861315524
FRA,ELOUTPUT,58.62516093100707
FRA,HEATOUT,395.0940620945848
FRA,TFC,6189.730042661332
GBR,ELOUTPUT,75.65457124703443
GBR,HEATOUT,0.0
GBR,TFC,439.10218826814116
GRC,ELOUTPUT,15.08448328611489
GRC,HEATOUT,0.0
GRC,TFC,3664.6041489177205
HRV,ELOUTPUT,0.22583207262578792
HRV,HEATOUT,0.0
HRV,TFC,9476.59092484783
HUN,ELOUTPUT,11.752072404518085
HUN,HEATOUT,94.2124471095533
HUN,TFC,2846.0583010518594
IRL,ELOUTPUT,25.069032198137187
IRL,HEATOUT,0.0
IRL,TFC,1298.2348498602466
ITA,ELOUTPUT,33.50771629318676
ITA,HEATOUT,0.0
ITA,TFC,1160.1713146973766
LTU,ELOUTPUT,0.0
LTU,HEATOUT,348.33209221570644
LTU,TFC,7241.535930212422
LUX,ELOUTPUT,128.43368026348662
LUX,HEATOUT,9.280247901114592
LUX,TFC,2119.026456384668
LVA,ELOUTPUT,0.0
LVA,HEATOUT,1558.9962446394986
LVA,TFC,14572.031328601859
MLT,ELOUTPUT,0.0
MLT,HEATOUT,0.0
MLT,TFC,0.0
NLD,ELOUTPUT,200.991428529268
NLD,HEATOUT,398.35471465426065
NLD,TFC,1339.8356912386766
POL,ELOUTPUT,7.789123236946331
POL,HEATOUT,53.94882671495714
POL,TFC,3938.734834145781
PRT,ELOUTPUT,150.92472248024228
PRT,HEATOUT,0.0
PRT,TFC,9823.809720951558
ROU,ELOUTPUT,0.0
ROU,HEATOUT,38.675802889394376
ROU,TFC,5214.371554071736
SVK,ELOUTPUT,5.925180889291883
SVK,HEATOUT,535.4882228697539
SVK,TFC,2482.650792613299
SVN,ELOUTPUT,35.17107209466847
SVN,HEATOUT,139.1769567174738
SVN,TFC,9144.981188500868
SWE,ELOUTPUT,489.3986910895624
SWE,HEATOUT,10204.898224909695
SWE,TFC,24958.6569691636
