"MEASURE","Unit","COUNTRY","Country","PRODUCT","Product","FLOW","Flow","TIME","Time","Value","Flag Codes","Flags"
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2000","2000",100267.43,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2001","2001",130947.72,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2002","2002",126037.64,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2003","2003",72931.43,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2004","2004",72906.39,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2005","2005",67273.77,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2006","2006",68848.12,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2007","2007",77177.19,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2008","2008",104272.45,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2009","2009",130118.79,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2010","2010",142921.5,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2011","2011",171432.25,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2012","2012",169020.56,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2013","2013",152454.03,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2014","2014",167056.12,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2015","2015",172980.35,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2016","2016",196736.78,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2017","2017",178536.2,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2018","2018",187484.01,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2019","2019",194634.53,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","INDPROD","Production","2020","2020",201322.3,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2000","2000",159132.64,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2001","2001",167654.5,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2002","2002",171383.69,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2003","2003",206601.85,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2004","2004",220364.53,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2005","2005",250896.53,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2006","2006",271998.86,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2007","2007",303521.22,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2008","2008",304845.21,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2009","2009",311355.94,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2010","2010",327501.36,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2011","2011",332931.84,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2012","2012",348242.95,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2013","2013",365830.16,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2014","2014",379634.07,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2015","2015",390713.36,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2016","2016",404296.8,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2017","2017",417941.38,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2018","2018",416139.74,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2019","2019",426606.65,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","INDPROD","Production","2020","2020",431528.67,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2000","2000",153369.94,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2001","2001",166644.24,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2002","2002",170418.93,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2003","2003",213068.06,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2004","2004",228572.89,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2005","2005",260881.64,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2006","2006",285588.21,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2007","2007",298040.49,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2008","2008",298588.99,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2009","2009",306348.19,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2010","2010",315098.39,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2011","2011",320403.37,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2012","2012",328192.59,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2013","2013",354283.27,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2014","2014",370383.35,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2015","2015",374487.17,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2016","2016",404205.57,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2017","2017",418590.36,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2018","2018",417975.97,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2019","2019",427313.23,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTEN","Municipal waste (non-renewable)","INDPROD","Production","2020","2020",438341.08,,
"TJ","TJ","EU28","Memo: European Union-28","PRIMSBIO","Primary solid biofuels","INDPROD","Production","2000","2000",2258035.72,,
