,share,sector,year,,,,,,,,,,,,
0,0.07664632,transport,2050,,,,,,,,,,,,
1,0.122912722,transport,2050,,,,,,,,,,,,
2,0.130998802,transport,2050,,,,,,,,,,,,
3,0.129092134,transport,2050,,,,,,,,,,,,
4,0.087821031,transport,2050,,,,,,,,,,,,
5,0.111390219,transport,2050,,,,,,,,,,,,
6,0.009513756,transport,2050,,,,,,,,,,,,
7,0.015256593,transport,2050,,,,,,,,,,,,
8,0.016260281,transport,2050,,,,,,,,,,,,
9,0.016023615,transport,2050,,,,,,,,,,,,
10,0.010900822,transport,2050,,,,,,,,,,,,
11,0.013826357,transport,2050,,,,,,,,,,,,
12,0.000878939,transport,2050,,,,,,,,,,,,
13,0.001409498,transport,2050,,,,,,,,,,,,
14,0.001502225,transport,2050,,,,,,,,,,,,
15,0.00148036,transport,2050,,,,,,,,,,,,
16,0.001007085,transport,2050,,,,,,,,,,,,
17,0.001277364,transport,2050,,,,,,,,,,,,
18,0.036091367,transport,2050,,,,,,,,,,,,
19,0.057877379,transport,2050,,,,,,,,,,,,
20,0.061684968,transport,2050,,,,,,,,,,,,
21,0.060787153,transport,2050,,,,,,,,,,,,
22,0.041353336,transport,2050,,,,,,,,,,,,
23,0.052451641,transport,2050,,,,,,,,,,,,
24,0.022885568,transport,2050,,,,,,,,,,,,
25,0.036700097,transport,2050,,,,,,,,,,,,
26,0.039114493,transport,2050,,,,,,,,,,,,
27,0.038545187,transport,2050,,,,,,,,,,,,
28,0.026222187,transport,2050,,,,,,,,,,,,
29,0.033259632,transport,2050,,,,,,,,,,,,
30,0.038884644,transport,2050,,,,,,,,,,,,
31,0.069518212,transport,2050,,,,,,,,,,,,
32,0.049816953,transport,2050,,,,,,,,,,,,
33,0.053549631,transport,2050,,,,,,,,,,,,
34,0.047306879,transport,2050,,,,,,,,,,,,
35,0.052130083,transport,2050,,,,,,,,,,,,
36,0.057509029,transport,2050,,,,,,,,,,,,
37,0.102815004,transport,2050,,,,,,,,,,,,
38,0.073677531,transport,2050,,,,,,,,,,,,
39,0.079198031,transport,2050,,,,,,,,,,,,
40,0.069965221,transport,2050,,,,,,,,,,,,
41,0.077098571,transport,2050,,,,,,,,,,,,
42,0.000518527,transport,2050,,,,,,,,,,,,
43,0.000927026,transport,2050,,,,,,,,,,,,
44,0.00066431,transport,2050,,,,,,,,,,,,
45,0.000714085,transport,2050,,,,,,,,,,,,
46,0.000630838,transport,2050,,,,,,,,,,,,
47,0.000695155,transport,2050,,,,,,,,,,,,
48,0.01920355,transport,2050,,,,,,,,,,,,
49,0.034332227,transport,2050,,,,,,,,,,,,
50,0.024602574,transport,2050,,,,,,,,,,,,
51,0.026445992,transport,2050,,,,,,,,,,,,
52,0.023362951,transport,2050,,,,,,,,,,,,
53,0.025744936,transport,2050,,,,,,,,,,,,
54,0.012758957,transport,2050,,,,,,,,,,,,
55,0.022810545,transport,2050,,,,,,,,,,,,
56,0.016346103,transport,2050,,,,,,,,,,,,
57,0.017570881,transport,2050,,,,,,,,,,,,
58,0.015522489,transport,2050,,,,,,,,,,,,
59,0.017105095,transport,2050,,,,,,,,,,,,
60,0.053747955,transport,2050,,,,,,,,,,,,
61,0.104683799,transport,2050,,,,,,,,,,,,
62,0.073301143,transport,2050,,,,,,,,,,,,
63,0.075915628,transport,2050,,,,,,,,,,,,
64,0.064908578,transport,2050,,,,,,,,,,,,
65,0.071382665,transport,2050,,,,,,,,,,,,
66,0.030448312,transport,2050,,,,,,,,,,,,
67,0.059303558,transport,2050,,,,,,,,,,,,
68,0.041525227,transport,2050,,,,,,,,,,,,
69,0.043006338,transport,2050,,,,,,,,,,,,
70,0.036770824,transport,2050,,,,,,,,,,,,
71,0.040438406,transport,2050,,,,,,,,,,,,
72,0.001922129,transport,2050,,,,,,,,,,,,
73,0.003743692,transport,2050,,,,,,,,,,,,
74,0.002621388,transport,2050,,,,,,,,,,,,
75,0.002714887,transport,2050,,,,,,,,,,,,
76,0.002321254,transport,2050,,,,,,,,,,,,
77,0.00255278,transport,2050,,,,,,,,,,,,
78,0.027343528,transport,2050,,,,,,,,,,,,
79,0.053256433,transport,2050,,,,,,,,,,,,
80,0.037290941,transport,2050,,,,,,,,,,,,
81,0.038621025,transport,2050,,,,,,,,,,,,
82,0.03302134,transport,2050,,,,,,,,,,,,
83,0.036314942,transport,2050,,,,,,,,,,,,
84,0.013332186,transport,2050,,,,,,,,,,,,
85,0.025966827,transport,2050,,,,,,,,,,,,
86,0.018182356,transport,2050,,,,,,,,,,,,
87,0.018830879,transport,2050,,,,,,,,,,,,
88,0.016100579,transport,2050,,,,,,,,,,,,
89,0.017706478,transport,2050,,,,,,,,,,,,
90,0.046574399,transport,2050,,,,,,,,,,,,
