share,sector,year
0.11094402,Electricity,2050
0.192210417,Electricity,2050
0.684763926,Electricity,2050
0.249728343,Electricity,2050
0.205421566,Electricity,2050
0.288628214,Electricity,2050
0.128099764,Electricity,2050
0.221932729,Electricity,2050
0.790651876,Electricity,2050
0.288344895,Electricity,2050
0.237186775,Electricity,2050
0.333260019,Electricity,2050
0.003141442,Electricity,2050
0.005442545,Electricity,2050
0.019389472,Electricity,2050
0.007071197,Electricity,2050
0.005816626,Electricity,2050
0.008172669,Electricity,2050
0.045724949,Electricity,2050
0.079218433,Electricity,2050
0.282221569,Electricity,2050
0.10292412,Electricity,2050
0.084663334,Electricity,2050
0.118956482,Electricity,2050
0.014932404,Electricity,2050
0.025870377,Electricity,2050
0.092165146,Electricity,2050
0.033611948,Electricity,2050
0.027648519,Electricity,2050
0.038847639,Electricity,2050
0.106839526,Electricity,2050
0.185099385,Electricity,2050
0.659430345,Electricity,2050
0.240489373,Electricity,2050
0.197821774,Electricity,2050
0.277950102,Electricity,2050
0.112297436,Electricity,2050
0.217926373,Electricity,2050
0.471932989,Electricity,2050
0.139356519,Electricity,2050
0.286016571,Electricity,2050
0.432336729,Electricity,2050
0.074493292,Electricity,2050
0.144562989,Electricity,2050
0.31306006,Electricity,2050
0.092443125,Electricity,2050
0.189731099,Electricity,2050
0.286793603,Electricity,2050
0.002076437,Electricity,2050
0.00402957,Electricity,2050
0.008726282,Electricity,2050
0.002576773,Electricity,2050
0.005288592,Electricity,2050
0.007994127,Electricity,2050
0.102714662,Electricity,2050
0.199329873,Electricity,2050
0.431661123,Electricity,2050
0.127464689,Electricity,2050
0.261609672,Electricity,2050
0.395443765,Electricity,2050
0.001551064,Electricity,2050
0.003010023,Electricity,2050
0.00651839,Electricity,2050
0.001924807,Electricity,2050
0.003950492,Electricity,2050
0.005971482,Electricity,2050
0.064776775,Electricity,2050
0.125706946,Electricity,2050
0.272226137,Electricity,2050
0.080385325,Electricity,2050
0.164983564,Electricity,2050
0.24938574,Electricity,2050
0.108951998,Electricity,2050
0.216315479,Electricity,2050
0.535381231,Electricity,2050
0.159108697,Electricity,2050
0.234772373,Electricity,2050
0.22023363,Electricity,2050
0.053746581,Electricity,2050
0.106709539,Electricity,2050
0.264106316,Electricity,2050
0.078489139,Electricity,2050
0.11581442,Electricity,2050
0.108642383,Electricity,2050
0.002246015,Electricity,2050
0.004459284,Electricity,2050
0.011036735,Electricity,2050
0.003279982,Electricity,2050
0.004839767,Electricity,2050
0.004540055,Electricity,2050
0.090107946,Electricity,2050
0.17890212,Electricity,2050
0.442783095,Electricity,2050
0.131589673,Electricity,2050
0.194166758,Electricity,2050
0.182142598,Electricity,2050
0.001251332,Electricity,2050
0.00248442,Electricity,2050
0.006148945,Electricity,2050
0.00182739,Electricity,2050
0.002696401,Electricity,2050
0.002529421,Electricity,2050
0.144954798,Electricity,2050
0.287796159,Electricity,2050
0.712296053,Electricity,2050
0.211685599,Electricity,2050
0.312352068,Electricity,2050
0.293009049,Electricity,2050
0.114179967,Electricity,2050
0.360330463,Electricity,2050
0.558820856,Electricity,2050
0.1633744,Electricity,2050
0.334110449,Electricity,2050
0.423400608,Electricity,2050
0.03451288,Electricity,2050
0.108916147,Electricity,2050
0.16891332,Electricity,2050
0.049382753,Electricity,2050
0.100990692,Electricity,2050
0.127980195,Electricity,2050
0.001539409,Electricity,2050
0.004858083,Electricity,2050
0.00753419,Electricity,2050
0.002202663,Electricity,2050
0.004504577,Electricity,2050
0.005708414,Electricity,2050
0.093285234,Electricity,2050
0.294390623,Electricity,2050
0.456557624,Electricity,2050
0.133477173,Electricity,2050
0.272968826,Electricity,2050
0.345919043,Electricity,2050
0.001292563,Electricity,2050
0.004079085,Electricity,2050
0.006326075,Electricity,2050
0.001849463,Electricity,2050
0.003782264,Electricity,2050
0.004793064,Electricity,2050
0.071276764,Electricity,2050
0.224936038,Electricity,2050
0.348843526,Electricity,2050
0.101986354,Electricity,2050
0.208568213,Electricity,2050
0.264307532,Electricity,2050
0.10374319,Electricity,2050
0.675004842,Electricity,2050
0.232025982,Electricity,2050
0.208453116,Electricity,2050
0.242666333,Electricity,2050
0.00278061,Electricity,2050
0.018092032,Electricity,2050
0.00621895,Electricity,2050
0.005587131,Electricity,2050
0.006504141,Electricity,2050
0.049599771,Electricity,2050
0.322720803,Electricity,2050
0.110931962,Electricity,2050
0.09966174,Electricity,2050
0.116019129,Electricity,2050
0.01617011,Electricity,2050
0.105210788,Electricity,2050
0.036165128,Electricity,2050
0.032490903,Electricity,2050
0.037823604,Electricity,2050
0.091214303,Electricity,2050
0.593485665,Electricity,2050
0.204004602,Electricity,2050
0.183278591,Electricity,2050
0.213359936,Electricity,2050
0.110489687,Electricity,2050
0.318348495,Electricity,2050
0.695236694,Electricity,2050
0.21360665,Electricity,2050
0.265991595,Electricity,2050
0.273662188,Electricity,2050
0.041831041,Electricity,2050
0.12052572,Electricity,2050
0.263214384,Electricity,2050
0.080870793,Electricity,2050
0.100703565,Electricity,2050
0.103607627,Electricity,2050
0.001445088,Electricity,2050
0.00416366,Electricity,2050
0.009092957,Electricity,2050
0.002793748,Electricity,2050
0.003478887,Electricity,2050
0.003579211,Electricity,2050
0.063205467,Electricity,2050
0.182110799,Electricity,2050
0.397709152,Electricity,2050
0.122193377,Electricity,2050
0.15216011,Electricity,2050
0.156548061,Electricity,2050
0.002285451,Electricity,2050
0.006584957,Electricity,2050
0.014380793,Electricity,2050
0.004418399,Electricity,2050
0.005501968,Electricity,2050
0.005660632,Electricity,2050
0.101542054,Electricity,2050
0.292568121,Electricity,2050
0.638935306,Electricity,2050
0.196308439,Electricity,2050
0.244451167,Electricity,2050
0.251500583,Electricity,2050
0.109531355,Electricity,2050
0.36502178,Electricity,2050
0.515256138,Electricity,2050
0.151174421,Electricity,2050
0.369595798,Electricity,2050
0.985330516,Electricity,2050
0.032107771,Electricity,2050
0.10700165,Electricity,2050
0.151041006,Electricity,2050
0.044314924,Electricity,2050
0.108342467,Electricity,2050
0.288837535,Electricity,2050
0.000721231,Electricity,2050
0.002403558,Electricity,2050
0.003392806,Electricity,2050
0.000995438,Electricity,2050
0.002433677,Electricity,2050
0.006488105,Electricity,2050
0.091279314,Electricity,2050
0.304195431,Electricity,2050
0.429395097,Electricity,2050
0.12598308,Electricity,2050
0.308007245,Electricity,2050
0.821137413,Electricity,2050
0.001371137,Electricity,2050
0.00456942,Electricity,2050
0.006450086,Electricity,2050
0.001892434,Electricity,2050
0.004626679,Electricity,2050
0.012334577,Electricity,2050
0.023563344,Electricity,2050
0.078526681,Electricity,2050
0.110846411,Electricity,2050
0.032521965,Electricity,2050
0.079510684,Electricity,2050
0.211972927,Electricity,2050
0.077886384,Electricity,2050
0.128629545,Electricity,2050
0.135074308,Electricity,2050
0.049635224,Electricity,2050
0.098337659,Electricity,2050
0.319198371,Electricity,2050
0.006184606,Electricity,2050
0.010213891,Electricity,2050
0.01072564,Electricity,2050
0.003941309,Electricity,2050
0.007808549,Electricity,2050
0.025346099,Electricity,2050
0.000979709,Electricity,2050
0.001617991,Electricity,2050
0.001699058,Electricity,2050
0.000624346,Electricity,2050
0.001236959,Electricity,2050
0.004015097,Electricity,2050
0.13505042,Electricity,2050
0.223036083,Electricity,2050
0.234210924,Electricity,2050
0.086064566,Electricity,2050
0.17051173,Electricity,2050
0.553471244,Electricity,2050
0.003782989,Electricity,2050
0.006247615,Electricity,2050
0.006560641,Electricity,2050
0.002410813,Electricity,2050
0.004776319,Electricity,2050
0.015503658,Electricity,2050
0.036586018,Electricity,2050
0.060421893,Electricity,2050
0.063449229,Electricity,2050
0.023315438,Electricity,2050
0.046192712,Electricity,2050
0.149938879,Electricity,2050
0.105169816,Electricity,2050
0.259895285,Electricity,2050
0.262282788,Electricity,2050
0.092952145,Electricity,2050
0.18828111,Electricity,2050
0.698110465,Electricity,2050
0.003521501,Electricity,2050
0.00870232,Electricity,2050
0.008782263,Electricity,2050
0.003112405,Electricity,2050
0.006304395,Electricity,2050
0.023375494,Electricity,2050
0.001469019,Electricity,2050
0.003630234,Electricity,2050
0.003663583,Electricity,2050
0.001298362,Electricity,2050
0.002629923,Electricity,2050
0.009751252,Electricity,2050
0.103074335,Electricity,2050
0.254716941,Electricity,2050
0.257056873,Electricity,2050
0.091100098,Electricity,2050
0.184529659,Electricity,2050
0.6842008,Electricity,2050
0.002749702,Electricity,2050
0.006795054,Electricity,2050
0.006857476,Electricity,2050
0.002430266,Electricity,2050
0.004922676,Electricity,2050
0.018252343,Electricity,2050
0.018118995,Electricity,2050
0.044775596,Electricity,2050
0.045186923,Electricity,2050
0.016014095,Electricity,2050
0.032437676,Electricity,2050
0.120272718,Electricity,2050
0.23555613,Electricity,2050
0.287623169,Electricity,2050
0.172366773,Electricity,2050
0.204877754,Electricity,2050
0.256789162,Electricity,2050
0.14022591,Electricity,2050
0.224353077,Electricity,2050
0.277798518,Electricity,2050
0.163638634,Electricity,2050
0.212724443,Electricity,2050
0.261777859,Electricity,2050
0.152974201,Electricity,2050
0.227521391,Electricity,2050
0.273839432,Electricity,2050
0.152974201,Electricity,2050
0.220594694,Electricity,2050
0.275232534,Electricity,2050
0.166517318,Electricity,2050
0.212704758,Electricity,2050
0.263105278,Electricity,2050
0.154156776,Electricity,2050
0.20751314,Electricity,2050
0.260699729,Electricity,2050
0.152490726,Electricity,2050
0.205365124,Electricity,2050
0.259464701,Electricity,2050
0.151925157,Electricity,2050
0.224330839,Electricity,2050
0.281406756,Electricity,2050
0.166529731,Electricity,2050
0.241553818,Electricity,2050
0.300986671,Electricity,2050
0.167792344,Electricity,2050
0.202041949,Electricity,2050
0.182770161,Electricity,2050
0.120141832,Electricity,2050
0.314409301,Electricity,2050
0.07452942,Electricity,2050
0.147929936,Electricity,2050
0.075255456,Electricity,2050
0.068077208,Electricity,2050
0.044749758,Electricity,2050
0.11710942,Electricity,2050
0.027760302,Electricity,2050
0.055100116,Electricity,2050
0.115309794,Electricity,2050
0.104310959,Electricity,2050
0.068567592,Electricity,2050
0.179440318,Electricity,2050
0.042535583,Electricity,2050
0.084426875,Electricity,2050
0.019422296,Electricity,2050
0.017569699,Electricity,2050
0.011549237,Electricity,2050
0.030224172,Electricity,2050
